price,age,hp_kW,km,Gearing_Type,make_model
26379,0.0,100.0,5900.0,Manual,Opel Insignia
18990,0.0,66.0,1900.0,Manual,Opel Astra
12480,2.0,81.0,39792.0,Manual,Opel Astra
34490,0.0,154.0,10.0,Automatic,Opel Insignia
15888,2.0,60.0,11903.0,Manual,Audi A1
15480,1.0,87.0,16100.0,Automatic,Renault Clio
20500,1.0,85.0,12642.0,Automatic,Audi A1
16890,3.0,81.0,63200.0,Automatic,Audi A3
18990,1.0,110.0,15267.0,Automatic,Opel Astra
13940,3.0,103.0,69730.0,Manual,Opel Insignia
8500,2.0,66.0,48562.0,Manual,Opel Corsa
9000,1.0,74.0,19973.0,Manual,Opel Corsa
17500,3.0,92.0,33000.0,Automatic,Audi A1
10480,3.0,81.0,100000.0,Manual,Opel Astra
21200,1.0,85.0,19500.0,Manual,Audi A3
28680,0.0,110.0,50.0,Automatic,Opel Astra
16990,2.0,85.0,36500.0,Automatic,Audi A1
8990,2.0,54.0,51900.0,Manual,Renault Clio
21449,1.0,85.0,1250.0,Manual,Audi A3
18460,2.0,81.0,26450.0,Manual,Audi A3
25464,0.0,147.0,1647.3626086956522,Manual,Opel Insignia
8900,1.0,51.0,23712.0,Manual,Opel Corsa
18750,0.0,81.0,5.0,Manual,Opel Astra
31840,0.0,147.0,15.0,Automatic,Opel Astra
18490,2.0,92.0,16700.0,Automatic,Audi A1
13890,1.0,66.0,19337.0,Automatic,Opel Corsa
19900,2.0,85.0,9000.0,Automatic,Audi A3
10980,3.0,81.0,67160.0,Manual,Opel Astra
10950,3.0,66.0,34800.0,Automatic,Opel Corsa
18700,3.0,85.0,27000.0,Automatic,Audi A1
11590,2.0,81.0,54846.0,Manual,Opel Astra
9980,1.0,56.0,10.0,Manual,Renault Clio
10900,3.0,100.0,119000.0,Manual,Opel Insignia
14500,3.0,88.0,15000.0,Automatic,Renault Clio
39990,0.0,167.0,10.0,Automatic,Renault Espace
12980,2.0,74.0,35870.0,Manual,Opel Astra
12620,1.0,66.0,25294.0,Automatic,Opel Corsa
9690,3.0,66.0,24731.0,Automatic,Opel Corsa
19750,2.0,81.0,26478.0,Automatic,Audi A3
17000,0.0,92.0,1501.0,Manual,Opel Astra
11290,0.0,51.0,12.0,Manual,Opel Corsa
11480,3.0,100.0,124349.0,Automatic,Opel Astra
49490,0.0,165.0,3353.0,Automatic,Renault Espace
12500,1.0,66.0,5000.0,Automatic,Opel Corsa
13950,1.0,88.0,20900.0,Automatic,Renault Clio
17990,3.0,125.0,133100.0,Automatic,Opel Insignia
16690,0.0,66.0,10.0,Automatic,Opel Corsa
19450,2.0,85.0,40601.0,Automatic,Audi A3
15222,1.0,81.0,46313.0,Manual,Opel Astra
14990,3.0,66.0,49351.0,Automatic,Audi A1
9500,1.0,66.0,20414.0,Manual,Opel Corsa
18930,2.0,85.0,19851.0,Manual,Audi A3
22900,1.0,100.0,20606.0,Automatic,Opel Insignia
6900,3.0,51.0,57754.0,Manual,Opel Corsa
15990,1.0,88.0,5264.0,Automatic,Renault Clio
11400,0.0,56.0,150.0,Manual,Renault Clio
25490,2.0,147.0,49606.0,Automatic,Renault Espace
15485,1.0,87.0,22735.0,Automatic,Renault Clio
12460,2.0,81.0,43816.0,Manual,Opel Astra
9900,1.0,66.0,14890.0,Manual,Opel Corsa
13945,2.0,66.0,39640.0,Automatic,Opel Corsa
14000,1.0,88.0,19000.0,Automatic,Renault Clio
7490,3.0,55.0,48404.0,Manual,Renault Clio
12700,1.0,66.0,15091.0,Automatic,Opel Corsa
13490,1.0,66.0,5350.0,Automatic,Opel Corsa
7400,2.0,55.0,16600.0,Manual,Renault Clio
