hp_kW,age,make_model,Gears,Gearing_Type,price
66.0,3.0,Audi A1,7.0,Automatic,15770
141.0,2.0,Audi A1,7.0,Automatic,14500
85.0,3.0,Audi A1,7.0,Automatic,14640
66.0,3.0,Audi A1,6.0,Automatic,14500
66.0,3.0,Audi A1,7.0,Automatic,16790
85.0,3.0,Audi A1,7.0,Automatic,15090
85.0,3.0,Audi A1,7.0,Automatic,16422
66.0,3.0,Audi A1,7.0,Automatic,14480
85.0,3.0,Audi A1,7.0,Automatic,16700
70.0,2.0,Audi A1,7.0,Automatic,17990
85.0,1.0,Audi A1,7.0,Automatic,18500
92.0,3.0,Audi A1,7.0,Automatic,17990
92.0,3.0,Audi A1,7.0,Automatic,18380
112.0,3.0,Audi A1,7.0,Automatic,18399
70.0,3.0,Audi A1,7.0,Automatic,17990
85.0,3.0,Audi A1,7.0,Automatic,18700
85.0,1.0,Audi A1,5.0,Automatic,18900
66.0,2.0,Audi A1,7.0,Automatic,18500
70.0,3.0,Audi A1,7.0,Automatic,18400
85.0,1.0,Audi A1,7.0,Automatic,18500
85.0,2.0,Audi A1,7.0,Automatic,18500
92.0,3.0,Audi A1,7.0,Automatic,18500
92.0,3.0,Audi A1,7.0,Automatic,18900
85.0,1.0,Audi A1,7.0,Automatic,18850
70.0,1.0,Audi A1,7.0,Automatic,18500
70.0,3.0,Audi A1,5.0,Manual,8999
70.0,3.0,Audi A1,5.0,Manual,11444
70.0,3.0,Audi A1,5.0,Manual,11300
66.0,1.0,Audi A1,7.0,Automatic,18900
70.0,3.0,Audi A1,5.0,Manual,11290
66.0,3.0,Audi A1,5.0,Manual,11290
66.0,3.0,Audi A1,5.0,Manual,11440
70.0,3.0,Audi A1,5.0,Manual,11445
66.0,3.0,Audi A1,5.0,Manual,11700
66.0,3.0,Audi A1,5.0,Manual,11900
70.0,3.0,Audi A1,5.0,Manual,11949
70.0,3.0,Audi A1,5.0,Manual,11890
66.0,2.0,Audi A1,5.0,Manual,11600
60.0,3.0,Audi A1,5.0,Manual,11900
66.0,3.0,Audi A1,5.0,Manual,11630
60.0,3.0,Audi A1,5.0,Manual,11880
66.0,3.0,Audi A1,5.0,Manual,11800
66.0,3.0,Audi A1,5.0,Manual,11850
66.0,3.0,Audi A1,5.0,Manual,11569
66.0,3.0,Audi A1,5.0,Manual,11490
70.0,3.0,Audi A1,5.0,Manual,11490
66.0,3.0,Audi A1,5.0,Manual,11500
85.0,3.0,Audi A1,5.0,Manual,11790
60.0,3.0,Audi A1,5.0,Manual,11490
60.0,3.0,Audi A1,5.0,Manual,11470
66.0,3.0,Audi A1,5.0,Manual,11480
70.0,3.0,Audi A1,5.0,Manual,11180
70.0,3.0,Audi A1,5.0,Manual,11450
85.0,3.0,Audi A1,5.0,Manual,11100
66.0,3.0,Audi A1,5.0,Manual,10900
70.0,2.0,Audi A1,5.0,Manual,10999
60.0,3.0,Audi A1,5.0,Manual,10900
70.0,3.0,Audi A1,5.0,Manual,10950
66.0,3.0,Audi A1,5.0,Manual,10800
70.0,3.0,Audi A1,5.0,Manual,10600
66.0,3.0,Audi A1,5.0,Manual,10800
70.0,3.0,Audi A1,5.0,Manual,9950
70.0,3.0,Audi A1,5.0,Manual,10300
85.0,3.0,Audi A1,5.0,Manual,10000
66.0,3.0,Audi A1,5.0,Manual,10490
71.0,3.0,Audi A1,7.0,Automatic,18900
85.0,2.0,Audi A1,7.0,Automatic,18900
70.0,1.0,Audi A1,7.0,Automatic,18900
70.0,2.0,Audi A1,7.0,Automatic,18900
70.0,1.0,Audi A1,7.0,Automatic,18890
71.0,2.0,Audi A1,7.0,Automatic,18890
92.0,2.0,Audi A1,7.0,Automatic,18890
70.0,2.0,Audi A1,7.0,Automatic,18880
70.0,1.0,Audi A1,7.0,Automatic,18880
70.0,1.0,Audi A1,7.0,Automatic,18880
85.0,3.0,Audi A1,7.0,Automatic,18880
70.0,1.0,Audi A1,7.0,Automatic,18880
92.0,3.0,Audi A1,7.0,Automatic,18880
92.0,3.0,Audi A1,7.0,Automatic,18880
66.0,2.0,Audi A1,7.0,Automatic,18870
85.0,1.0,Audi A1,7.0,Automatic,18850
70.0,1.0,Audi A1,7.0,Automatic,18870
85.0,3.0,Audi A1,5.0,Automatic,18497
66.0,2.0,Audi A1,7.0,Automatic,18490
66.0,2.0,Audi A1,7.0,Automatic,18490
71.0,3.0,Audi A1,7.0,Automatic,18490
85.0,3.0,Audi A1,7.0,Automatic,18500
92.0,2.0,Audi A1,7.0,Automatic,18490
92.0,3.0,Audi A1,7.0,Automatic,18490
92.0,3.0,Audi A1,7.0,Automatic,18480
66.0,1.0,Audi A1,7.0,Automatic,18480
70.0,1.0,Audi A1,7.0,Automatic,18470
92.0,3.0,Audi A1,7.0,Automatic,18444
71.0,2.0,Audi A1,7.0,Automatic,18400
85.0,1.0,Audi A1,7.0,Automatic,18400
85.0,1.0,Audi A1,7.0,Automatic,18900
85.0,1.0,Audi A1,7.0,Automatic,18900
85.0,1.0,Audi A1,7.0,Automatic,18900
92.0,3.0,Audi A1,7.0,Automatic,18900
85.0,1.0,Audi A1,7.0,Automatic,18900
85.0,1.0,Audi A1,7.0,Automatic,18900
85.0,1.0,Audi A1,7.0,Automatic,18900
85.0,1.0,Audi A1,7.0,Automatic,18900
85.0,1.0,Audi A1,5.0,Automatic,18900
85.0,1.0,Audi A1,5.0,Automatic,18900
85.0,1.0,Audi A1,5.0,Automatic,18900
85.0,1.0,Audi A1,7.0,Automatic,18900
85.0,1.0,Audi A1,5.0,Automatic,18900
71.0,3.0,Audi A1,7.0,Automatic,18900
85.0,1.0,Audi A1,5.0,Automatic,18900
85.0,1.0,Audi A1,7.0,Automatic,18900
70.0,1.0,Audi A1,7.0,Automatic,18900
85.0,1.0,Audi A1,5.0,Automatic,18900
70.0,1.0,Audi A1,7.0,Automatic,18900
92.0,3.0,Audi A1,7.0,Automatic,18850
70.0,1.0,Audi A1,7.0,Automatic,18850
92.0,3.0,Audi A1,7.0,Automatic,18850
66.0,1.0,Audi A1,7.0,Automatic,18850
70.0,1.0,Audi A1,7.0,Automatic,18840
85.0,1.0,Audi A1,5.0,Automatic,18800
70.0,1.0,Audi A1,7.0,Automatic,18750
85.0,0.0,Audi A1,7.0,Automatic,18730
92.0,3.0,Audi A1,7.0,Automatic,18690
70.0,2.0,Audi A1,7.0,Automatic,18600
85.0,3.0,Audi A1,7.0,Automatic,18500
70.0,1.0,Audi A1,7.0,Automatic,18500
92.0,3.0,Audi A1,7.0,Automatic,18620
70.0,2.0,Audi A1,7.0,Automatic,18500
66.0,2.0,Audi A1,7.0,Automatic,18500
85.0,1.0,Audi A1,7.0,Automatic,18500
92.0,2.0,Audi A1,7.0,Automatic,18500
70.0,1.0,Audi A1,7.0,Automatic,18333
70.0,3.0,Audi A1,7.0,Automatic,18350
70.0,2.0,Audi A1,7.0,Automatic,18349
70.0,1.0,Audi A1,7.0,Automatic,18333
66.0,1.0,Audi A1,7.0,Automatic,18300
92.0,2.0,Audi A1,7.0,Automatic,18300
92.0,2.0,Audi A1,7.0,Automatic,18290
85.0,1.0,Audi A1,7.0,Automatic,18250
85.0,1.0,Audi A1,6.0,Automatic,18200
85.0,3.0,Audi A1,7.0,Automatic,18185
70.0,2.0,Audi A1,7.0,Automatic,18150
85.0,1.0,Audi A1,6.0,Automatic,18000
92.0,2.0,Audi A1,7.0,Automatic,17998
92.0,3.0,Audi A1,7.0,Automatic,17998
66.0,3.0,Audi A1,7.0,Automatic,17990
92.0,3.0,Audi A1,7.0,Automatic,17990
71.0,2.0,Audi A1,7.0,Automatic,17990
70.0,1.0,Audi A1,7.0,Automatic,17990
66.0,3.0,Audi A1,7.0,Automatic,17989
70.0,2.0,Audi A1,7.0,Automatic,17980
66.0,3.0,Audi A1,7.0,Automatic,17980
92.0,2.0,Audi A1,7.0,Automatic,17970
92.0,3.0,Audi A1,7.0,Automatic,17980
85.0,2.0,Audi A1,7.0,Automatic,17970
85.0,3.0,Audi A1,7.0,Automatic,17950
70.0,3.0,Audi A1,7.0,Automatic,17950
92.0,1.0,Audi A1,7.0,Automatic,17950
70.0,1.0,Audi A1,7.0,Automatic,17950
70.0,2.0,Audi A1,7.0,Automatic,17950
70.0,1.0,Audi A1,7.0,Automatic,17944
92.0,3.0,Audi A1,7.0,Automatic,17940
70.0,3.0,Audi A1,7.0,Automatic,17950
66.0,1.0,Audi A1,7.0,Automatic,17500
66.0,3.0,Audi A1,7.0,Automatic,17500
70.0,2.0,Audi A1,7.0,Automatic,17500
92.0,3.0,Audi A1,7.0,Automatic,17500
66.0,3.0,Audi A1,7.0,Automatic,17450
66.0,2.0,Audi A1,7.0,Automatic,17500
85.0,2.0,Audi A1,7.0,Automatic,17930
70.0,2.0,Audi A1,5.0,Automatic,17500
70.0,2.0,Audi A1,7.0,Automatic,17495
66.0,2.0,Audi A1,7.0,Automatic,17490
67.0,2.0,Audi A1,7.0,Automatic,17490
141.0,3.0,Audi A1,7.0,Automatic,17490
70.0,3.0,Audi A1,7.0,Automatic,17449
92.0,2.0,Audi A1,7.0,Automatic,17445
70.0,1.0,Audi A1,7.0,Automatic,17444
92.0,2.0,Audi A1,7.0,Automatic,17440
70.0,3.0,Audi A1,7.0,Automatic,17420
70.0,3.0,Audi A1,7.0,Automatic,17450
110.0,3.0,Audi A1,7.0,Automatic,17445
70.0,1.0,Audi A1,7.0,Automatic,17370
70.0,3.0,Audi A1,7.0,Automatic,17350
66.0,2.0,Audi A1,7.0,Automatic,17900
85.0,2.0,Audi A1,7.0,Automatic,17930
85.0,3.0,Audi A1,7.0,Automatic,17920
70.0,2.0,Audi A1,7.0,Automatic,17900
66.0,3.0,Audi A1,7.0,Automatic,17900
70.0,1.0,Audi A1,7.0,Automatic,17900
85.0,1.0,Audi A1,7.0,Automatic,17900
70.0,3.0,Audi A1,7.0,Automatic,17900
71.0,2.0,Audi A1,7.0,Automatic,17900
70.0,2.0,Audi A1,7.0,Automatic,17900
70.0,3.0,Audi A1,7.0,Automatic,17900
85.0,2.0,Audi A1,7.0,Automatic,17900
70.0,3.0,Audi A1,7.0,Automatic,17900
110.0,3.0,Audi A1,7.0,Automatic,17900
70.0,3.0,Audi A1,7.0,Automatic,17900
92.0,3.0,Audi A1,7.0,Automatic,17890
70.0,3.0,Audi A1,7.0,Automatic,16900
70.0,1.0,Audi A1,7.0,Automatic,17900
66.0,2.0,Audi A1,7.0,Automatic,16900
66.0,3.0,Audi A1,7.0,Automatic,16900
85.0,2.0,Audi A1,7.0,Automatic,17890
93.0,2.0,Audi A1,7.0,Automatic,17900
66.0,2.0,Audi A1,7.0,Automatic,17900
71.0,3.0,Audi A1,7.0,Automatic,16900
92.0,3.0,Audi A1,7.0,Automatic,16890
70.0,3.0,Audi A1,7.0,Automatic,16890
70.0,3.0,Audi A1,7.0,Automatic,16880
70.0,2.0,Audi A1,7.0,Automatic,16880
70.0,2.0,Audi A1,8.0,Automatic,16880
92.0,3.0,Audi A1,6.0,Automatic,16880
92.0,3.0,Audi A1,7.0,Automatic,16879
66.0,2.0,Audi A1,7.0,Automatic,16870
66.0,3.0,Audi A1,7.0,Automatic,16850
92.0,3.0,Audi A1,7.0,Automatic,16840
92.0,3.0,Audi A1,7.0,Automatic,16830
92.0,3.0,Audi A1,7.0,Automatic,16876
70.0,2.0,Audi A1,7.0,Automatic,16820
70.0,3.0,Audi A1,5.0,Automatic,16800
92.0,3.0,Audi A1,7.0,Automatic,16790
66.0,2.0,Audi A1,7.0,Automatic,16780
85.0,3.0,Audi A1,7.0,Automatic,16530
92.0,3.0,Audi A1,7.0,Automatic,16500
85.0,2.0,Audi A1,7.0,Automatic,16500
85.0,3.0,Audi A1,7.0,Automatic,16500
92.0,3.0,Audi A1,7.0,Automatic,16500
85.0,3.0,Audi A1,7.0,Automatic,16500
67.0,3.0,Audi A1,7.0,Automatic,16490
70.0,3.0,Audi A1,7.0,Automatic,16490
70.0,3.0,Audi A1,7.0,Automatic,16490
92.0,3.0,Audi A1,6.0,Automatic,16480
70.0,3.0,Audi A1,7.0,Automatic,16480
70.0,3.0,Audi A1,7.0,Automatic,16450
92.0,3.0,Audi A1,7.0,Automatic,16480
66.0,3.0,Audi A1,7.0,Automatic,16480
70.0,3.0,Audi A1,7.0,Automatic,16444
92.0,3.0,Audi A1,6.0,Automatic,16430
92.0,3.0,Audi A1,7.0,Automatic,16443
66.0,3.0,Audi A1,7.0,Automatic,17300
92.0,3.0,Audi A1,7.0,Automatic,17240
70.0,3.0,Audi A1,7.0,Automatic,17150
85.0,2.0,Audi A1,7.0,Automatic,17000
85.0,2.0,Audi A1,7.0,Automatic,16999
110.0,3.0,Audi A1,7.0,Automatic,16999
67.0,3.0,Audi A1,7.0,Automatic,16995
85.0,2.0,Audi A1,7.0,Automatic,16990
70.0,2.0,Audi A1,7.0,Automatic,16990
92.0,3.0,Audi A1,7.0,Automatic,16980
85.0,3.0,Audi A1,7.0,Automatic,16970
70.0,1.0,Audi A1,7.0,Automatic,16950
70.0,2.0,Audi A1,7.0,Automatic,16975
70.0,2.0,Audi A1,7.0,Automatic,16950
70.0,3.0,Audi A1,7.0,Automatic,16930
66.0,2.0,Audi A1,7.0,Automatic,16900
66.0,2.0,Audi A1,7.0,Automatic,16900
85.0,3.0,Audi A1,7.0,Automatic,16900
85.0,2.0,Audi A1,7.0,Automatic,16900
70.0,3.0,Audi A1,7.0,Automatic,17890
66.0,2.0,Audi A1,7.0,Automatic,17890
70.0,1.0,Audi A1,7.0,Automatic,17880
70.0,2.0,Audi A1,7.0,Automatic,17880
92.0,3.0,Audi A1,7.0,Automatic,17850
85.0,2.0,Audi A1,7.0,Automatic,17750
92.0,2.0,Audi A1,7.0,Automatic,17820
67.0,3.0,Audi A1,7.0,Automatic,17790
66.0,2.0,Audi A1,7.0,Automatic,17777
92.0,2.0,Audi A1,7.0,Automatic,17820
70.0,1.0,Audi A1,7.0,Automatic,17770
70.0,2.0,Audi A1,7.0,Automatic,17700
85.0,3.0,Audi A1,7.0,Automatic,17700
70.0,3.0,Audi A1,7.0,Automatic,17700
70.0,2.0,Audi A1,7.0,Automatic,17700
70.0,1.0,Audi A1,7.0,Automatic,17660
92.0,2.0,Audi A1,7.0,Automatic,17650
66.0,2.0,Audi A1,7.0,Automatic,17650
92.0,3.0,Audi A1,7.0,Automatic,17530
70.0,2.0,Audi A1,5.0,Automatic,17500
85.0,3.0,Audi A1,7.0,Automatic,15420
70.0,3.0,Audi A1,7.0,Automatic,15250
66.0,3.0,Audi A1,7.0,Automatic,15250
70.0,2.0,Audi A1,7.0,Automatic,15190
66.0,3.0,Audi A1,5.0,Automatic,15200
85.0,3.0,Audi A1,7.0,Automatic,15180
85.0,3.0,Audi A1,7.0,Automatic,15380
70.0,3.0,Audi A1,7.0,Automatic,14250
66.0,3.0,Audi A1,7.0,Automatic,14450
70.0,3.0,Audi A1,7.0,Automatic,14470
85.0,3.0,Audi A1,7.0,Automatic,14350
70.0,3.0,Audi A1,7.0,Automatic,14210
66.0,3.0,Audi A1,7.0,Automatic,14300
66.0,3.0,Audi A1,7.0,Automatic,13892
85.0,3.0,Audi A1,7.0,Automatic,13990
70.0,3.0,Audi A1,7.0,Automatic,13950
66.0,3.0,Audi A1,7.0,Automatic,13900
70.0,3.0,Audi A1,7.0,Automatic,14990
85.0,2.0,Audi A1,7.0,Automatic,15000
85.0,3.0,Audi A1,7.0,Automatic,14998
85.0,3.0,Audi A1,7.0,Automatic,14990
70.0,2.0,Audi A1,7.0,Automatic,14990
66.0,3.0,Audi A1,7.0,Automatic,13880
66.0,3.0,Audi A1,7.0,Automatic,13500
66.0,3.0,Audi A1,7.0,Automatic,13480
70.0,1.0,Audi A1,7.0,Automatic,13450
70.0,3.0,Audi A1,7.0,Automatic,13250
66.0,3.0,Audi A1,7.0,Automatic,14990
66.0,3.0,Audi A1,7.0,Automatic,13599
85.0,3.0,Audi A1,5.0,Automatic,15700
92.0,3.0,Audi A1,7.0,Automatic,15680
66.0,3.0,Audi A1,7.0,Automatic,14990
85.0,3.0,Audi A1,7.0,Automatic,15750
70.0,3.0,Audi A1,7.0,Automatic,15660
85.0,3.0,Audi A1,7.0,Automatic,15750
85.0,3.0,Audi A1,7.0,Automatic,11000
66.0,3.0,Audi A1,7.0,Automatic,14990
70.0,3.0,Audi A1,7.0,Automatic,14959
70.0,3.0,Audi A1,7.0,Automatic,14959
92.0,3.0,Audi A1,7.0,Automatic,14930
70.0,3.0,Audi A1,7.0,Automatic,14930
66.0,3.0,Audi A1,7.0,Automatic,14950
92.0,3.0,Audi A1,7.0,Automatic,14930
85.0,2.0,Audi A1,7.0,Automatic,14900
70.0,3.0,Audi A1,7.0,Automatic,14850
85.0,3.0,Audi A1,7.0,Automatic,14890
92.0,3.0,Audi A1,7.0,Automatic,14700
66.0,3.0,Audi A1,7.0,Automatic,14799
70.0,3.0,Audi A1,7.0,Automatic,16395
70.0,3.0,Audi A1,7.0,Automatic,16250
92.0,3.0,Audi A1,7.0,Automatic,16400
85.0,3.0,Audi A1,7.0,Automatic,16290
70.0,3.0,Audi A1,7.0,Automatic,16199
71.0,3.0,Audi A1,7.0,Automatic,15998
85.0,3.0,Audi A1,7.0,Automatic,15990
66.0,2.0,Audi A1,7.0,Automatic,16000
70.0,2.0,Audi A1,7.0,Automatic,16150
85.0,3.0,Audi A1,7.0,Automatic,16000
92.0,3.0,Audi A1,7.0,Automatic,15993
85.0,3.0,Audi A1,7.0,Automatic,15990
66.0,3.0,Audi A1,7.0,Automatic,15990
66.0,3.0,Audi A1,7.0,Automatic,15980
70.0,3.0,Audi A1,7.0,Automatic,15590
85.0,3.0,Audi A1,7.0,Automatic,15990
85.0,3.0,Audi A1,7.0,Automatic,15980
70.0,1.0,Audi A1,7.0,Automatic,15990
85.0,3.0,Audi A1,7.0,Automatic,15980
92.0,3.0,Audi A1,7.0,Automatic,15990
66.0,2.0,Audi A1,7.0,Automatic,15580
70.0,3.0,Audi A1,7.0,Automatic,15490
66.0,3.0,Audi A1,7.0,Automatic,15500
66.0,2.0,Audi A1,7.0,Automatic,15490
70.0,3.0,Audi A1,7.0,Automatic,15500
85.0,3.0,Audi A1,7.0,Automatic,15500
110.0,3.0,Audi A1,7.0,Automatic,15490
92.0,3.0,Audi A1,7.0,Automatic,15480
66.0,2.0,Audi A1,7.0,Automatic,15450
70.0,3.0,Audi A1,7.0,Automatic,15450
85.0,3.0,Audi A1,7.0,Automatic,15450
66.0,3.0,Audi A1,7.0,Automatic,15450
70.0,3.0,Audi A1,7.0,Automatic,15444
70.0,3.0,Audi A1,7.0,Automatic,15960
70.0,3.0,Audi A1,7.0,Automatic,15960
85.0,3.0,Audi A1,7.0,Automatic,15930
66.0,3.0,Audi A1,7.0,Automatic,15900
85.0,3.0,Audi A1,7.0,Automatic,15900
70.0,3.0,Audi A1,7.0,Automatic,15900
70.0,3.0,Audi A1,7.0,Automatic,15425
70.0,3.0,Audi A1,7.0,Automatic,15889
70.0,3.0,Audi A1,7.0,Automatic,15970
85.0,3.0,Audi A1,7.0,Automatic,15889
66.0,2.0,Audi A1,7.0,Automatic,15880
70.0,3.0,Audi A1,7.0,Automatic,15850
66.0,3.0,Audi A1,7.0,Automatic,15850
70.0,3.0,Audi A1,7.0,Automatic,15800
70.0,3.0,Audi A1,7.0,Automatic,15790
70.0,3.0,Audi A1,7.0,Automatic,15840
70.0,3.0,Audi A1,7.0,Automatic,15830
70.0,3.0,Audi A1,7.0,Automatic,15790
85.0,3.0,Audi A1,7.0,Automatic,15789
67.0,3.0,Audi A1,7.0,Automatic,15784
70.0,3.0,Audi A1,7.0,Automatic,15780
66.0,3.0,Audi A1,5.0,Manual,12170
66.0,3.0,Audi A1,5.0,Manual,12490
70.0,3.0,Audi A1,5.0,Manual,12820
70.0,3.0,Audi A1,5.0,Manual,11950
85.0,3.0,Audi A1,5.0,Manual,12480
70.0,3.0,Audi A1,5.0,Manual,12480
85.0,3.0,Audi A1,5.0,Manual,12480
66.0,3.0,Audi A1,5.0,Manual,12900
70.0,3.0,Audi A1,5.0,Manual,13420
66.0,2.0,Audi A1,5.0,Manual,13490
70.0,3.0,Audi A1,5.0,Manual,13490
70.0,3.0,Audi A1,5.0,Manual,13490
66.0,3.0,Audi A1,5.0,Manual,12900
66.0,3.0,Audi A1,5.0,Manual,13680
60.0,3.0,Audi A1,5.0,Manual,13640
60.0,3.0,Audi A1,5.0,Manual,13650
70.0,3.0,Audi A1,5.0,Manual,13490
85.0,3.0,Audi A1,5.0,Manual,13660
92.0,3.0,Audi A1,5.0,Manual,13680
70.0,3.0,Audi A1,5.0,Manual,13750
60.0,3.0,Audi A1,5.0,Manual,13900
70.0,3.0,Audi A1,5.0,Manual,13900
66.0,3.0,Audi A1,5.0,Manual,13900
92.0,3.0,Audi A1,6.0,Manual,13900
70.0,3.0,Audi A1,5.0,Manual,13890
70.0,3.0,Audi A1,5.0,Manual,13890
60.0,2.0,Audi A1,5.0,Manual,13890
85.0,3.0,Audi A1,5.0,Manual,13890
85.0,3.0,Audi A1,5.0,Manual,13890
